area,ciudad,conglomerado,panelm,vivienda,hogar,s91p7,s91p8a,s91p8b,s91p8c,s91p8d,s91p91,s91p92,s91p93,s91p94,s91p95,s91p96,s91p10,s91p111,s91p112,s91p113,s91p114,s91p115,s91p121,s91p122,s91p123,s91p124,s91p125,s91p126,s91p131,s91p132,s91p133,estrato,fexp,upm,id_vivienda,id_hogar,periodo,NEW_VARIABLE,ID_1,NAME_1
1,10150,9303,28,2,1,3,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,5,5,5,4,5,1,2,2,1,2712,58.21656256,10150009303,1015000930302802,10150009303028021,202210,1,1,Azuay
1,10150,9303,28,3,1,3,1,1,1,1,2,2,1,2,2,1,2,2,2,2,2,2,5,5,5,4,4,5,4,4,4,2712,58.21656256,10150009303,1015000930302803,10150009303028031,202210,1,1,Azuay
1,10150,9303,28,4,1,3,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,4,3,5,5,5,1,3,3,3,2712,58.21656256,10150009303,1015000930302804,10150009303028041,202210,1,1,Azuay
1,10150,9303,28,5,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,5,5,4,5,5,2,4,5,5,2712,58.21656256,10150009303,1015000930302805,10150009303028051,202210,1,1,Azuay
1,10150,9303,28,6,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,1,5,5,4,2712,58.21656256,10150009303,1015000930302806,10150009303028061,202210,1,1,Azuay
1,10150,9303,28,8,1,3,1,1,1,1,2,2,1,2,2,1,3,2,2,2,2,2,5,5,5,4,4,1,5,5,5,2712,58.21656256,10150009303,1015000930302808,10150009303028081,202210,1,1,Azuay
1,10150,9303,28,9,1,3,1,1,1,1,2,2,1,2,2,1,4,2,2,2,2,2,5,5,5,5,5,1,5,1,5,2712,58.21656256,10150009303,1015000930302809,10150009303028091,202210,1,1,Azuay
1,10150,10102,13,1,1,3,1,2,2,1,2,2,2,2,2,1,3,2,2,2,2,2,5,5,5,5,99,1,1,1,5,2713,120.1572898,10150010102,1015001010201301,10150010102013011,202210,1,1,Azuay
1,10150,10102,13,2,1,3,1,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,5,5,5,5,5,1,1,2,5,2713,120.1572898,10150010102,1015001010201302,10150010102013021,202210,1,1,Azuay
1,10150,10102,13,3,1,1,1,5,5,1,2,2,2,2,2,2,3,2,2,2,2,2,5,5,5,5,5,1,1,1,5,2713,120.1572898,10150010102,1015001010201303,10150010102013031,202210,1,1,Azuay
1,10150,10102,13,4,1,3,1,1,1,1,2,2,2,2,2,1,4,2,2,2,2,2,5,5,5,5,5,1,1,1,5,2713,120.1572898,10150010102,1015001010201304,10150010102013041,202210,1,1,Azuay
1,10150,10102,13,5,1,1,1,2,2,1,2,2,2,2,2,2,4,2,2,2,2,2,5,5,5,5,5,2,2,2,5,2713,120.1572898,10150010102,1015001010201305,10150010102013051,202210,1,1,Azuay
1,10150,10102,13,6,1,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,5,5,99,5,5,5,1,1,5,2713,120.1572898,10150010102,1015001010201306,10150010102013061,202210,1,1,Azuay
1,10150,10102,13,7,1,3,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,5,5,5,5,5,1,5,5,1,2713,120.1572898,10150010102,1015001010201307,10150010102013071,202210,1,1,Azuay
1,10150,10702,13,1,1,3,1,1,5,2,2,2,1,2,1,2,3,2,2,2,2,2,3,3,2,3,4,3,5,3,5,2713,166.2971918,10150010702,1015001070201301,10150010702013011,202210,1,1,Azuay
1,10150,10702,13,2,1,3,1,1,4,1,2,2,2,2,1,1,3,2,2,2,2,2,4,4,4,4,5,4,5,5,5,2713,166.2971918,10150010702,1015001070201302,10150010702013021,202210,1,1,Azuay
1,10150,10702,13,3,1,1,1,1,4,1,2,2,2,2,1,1,4,2,2,2,2,2,3,3,4,3,3,4,3,4,4,2713,166.2971918,10150010702,1015001070201303,10150010702013031,202210,1,1,Azuay
1,10150,10702,13,4,1,3,1,2,1,1,2,2,2,2,2,1,4,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2713,166.2971918,10150010702,1015001070201304,10150010702013041,202210,1,1,Azuay
1,10150,10702,13,5,1,3,1,1,1,1,2,2,2,2,1,2,4,2,2,2,2,2,4,5,5,4,4,4,3,4,5,2713,166.2971918,10150010702,1015001070201305,10150010702013051,202210,1,1,Azuay
1,10150,10702,13,6,1,3,1,1,1,1,2,2,2,2,1,1,3,2,1,2,2,2,4,3,4,4,4,4,1,1,1,2713,166.2971918,10150010702,1015001070201306,10150010702013061,202210,1,1,Azuay
1,10150,10702,13,7,1,3,1,1,1,1,2,2,1,2,2,1,4,2,2,2,2,2,5,5,5,5,5,5,4,5,5,2713,166.2971918,10150010702,1015001070201307,10150010702013071,202210,1,1,Azuay
1,10150,11403,28,1,1,3,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,4,5,5,4,4,1,2,4,3,2712,61.86310608,10150011403,1015001140302801,10150011403028011,202210,1,1,Azuay
1,10150,11403,28,2,1,3,1,2,2,2,2,2,2,1,2,1,4,2,2,2,2,2,4,3,4,5,4,2,1,5,5,2712,61.86310608,10150011403,1015001140302802,10150011403028021,202210,1,1,Azuay
1,10150,11403,28,4,1,3,1,2,1,2,1,2,2,2,1,1,3,2,2,2,2,2,2,3,3,5,4,4,1,5,4,2712,61.86310608,10150011403,1015001140302804,10150011403028041,202210,1,1,Azuay
1,10150,11403,28,5,1,3,1,1,2,1,2,2,2,2,2,2,3,2,2,2,2,2,5,4,5,5,5,1,4,2,3,2712,61.86310608,10150011403,1015001140302805,10150011403028051,202210,1,1,Azuay
